SimTime,BATCHARGERctr_tb.cc,BATCHARGERctr_tb.clk,BATCHARGERctr_tb.cv,BATCHARGERctr_tb.dgnd,BATCHARGERctr_tb.dvdd,BATCHARGERctr_tb.en,BATCHARGERctr_tb.ibat[7:0],BATCHARGERctr_tb.iend[7:0],BATCHARGERctr_tb.imonen,BATCHARGERctr_tb.rstz,BATCHARGERctr_tb.tbat[7:0],BATCHARGERctr_tb.tc,BATCHARGERctr_tb.tempmax[7:0],BATCHARGERctr_tb.tempmin[7:0],BATCHARGERctr_tb.tmax[7:0],BATCHARGERctr_tb.tmonen,BATCHARGERctr_tb.vbat[7:0],BATCHARGERctr_tb.vcutoff[7:0],BATCHARGERctr_tb.vmonen,BATCHARGERctr_tb.vpreset[7:0],BATCHARGERctr_tb.vtok
0,0,0,0,z,z,,66,33,0,0,64,0,8B,2E,08,1,99,A3,1,C7,0
5000,0,1,0,z,z,,66,33,0,0,64,0,8B,2E,08,1,99,A3,1,C7,0
10000,0,0,0,z,z,,66,33,0,0,64,0,8B,2E,08,1,99,A3,1,C7,0
12000,0,0,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,99,A3,1,C7,1
15000,0,1,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,99,A3,1,C7,1
20000,0,0,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
25000,0,1,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
30000,0,0,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
35000,0,1,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
40000,0,0,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
45000,0,1,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
50000,0,0,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
55000,0,1,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
60000,0,0,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
65000,0,1,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
70000,0,0,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
75000,0,1,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
80000,0,0,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
85000,0,1,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
90000,0,0,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
95000,0,1,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
100000,0,0,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
105000,0,1,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
110000,0,0,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
115000,0,1,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,99,A3,1,C7,1
120000,0,0,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,A4,A3,1,C7,1
125000,0,1,0,z,z,,66,33,0,1,64,1,8B,2E,08,1,A4,A3,1,C7,1
130000,1,0,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
135000,1,1,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
140000,1,0,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
145000,1,1,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
150000,1,0,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
155000,1,1,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
160000,1,0,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
165000,1,1,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
170000,1,0,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
175000,1,1,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
180000,1,0,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
185000,1,1,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
190000,1,0,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
195000,1,1,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
200000,1,0,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
205000,1,1,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
210000,1,0,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
215000,1,1,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
220000,1,0,0,z,z,,66,33,0,1,64,0,8B,2E,08,1,A4,A3,1,C7,1
